,Location,Date,Time,2H,18O,17O
2515,Puffers Railroad,3/28/26,10:56 AM,,,
2516,Haskins Meadows,3/28/26,12:05 PM,,,
2517,Haskins Meadows Up,3/28/26,12:15 PM,,,
2518,Atkins Reservoir,3/28/26,12:33 PM,,,
2519,Dean Brook,3/28/26,12:44 PM,,,
2520,Nurse Brook,3/28/26,12:56 PM,,,
2521,Shutesbury Cemetery,3/28/26,1:17 PM,,,
2522,Broad Hill,3/28/26,1:30 PM,,,
2523,Number 6 Rd,3/28/26,1:41 PM,,,
2524,Leverett Library,3/28/26,2:00 PM,,,
2525,Leverett Pond,3/28/26,2:25 PM,,,
2526,MR Montague Bridge,3/28/26,2:42 PM,,,
2527,Lake Warner Trail,3/28/26,3:17 PM,,,
2528,Prindle School,3/28/26,3:38 PM,,,
2717,WET Center,7/20/26,10:01 AM,,,
2722,Umass Farm,7/20/26,8:45 AM,,,
2723,MR Montague Bridge,7/20/26,9:44 AM,,,
2724,Puffers Pond Beach,7/20/26,10:07 AM,,,
2725,Puffers Railroad,7/20/26,10:21 AM,,,
2726,Broad Hill,7/20/26,12:01 PM,,,
2727,MR Julius Bridge,7/20/26,9:37 AM,,,
2728,Leverett Pond,7/20/26,12:22 PM,,,
2729,Shutesbury Cemetery,7/20/26,11:41 AM,,,
2730,Atkins Resevoir,7/20/26,10:53 AM,,,
2731,Puffers Waterfall,7/20/26,9:56 AM,,,
2732,Number 6 Road,7/20/26,12:10:00 PM,,,
2733,Dean Brook,7/20/26,11:00 AM,,,
2734,Haskins Meadow,7/20/26,10:36 AM,,,
2735,Brandywine Pond,7/20/26,9:07 AM,,,
2736,Lake Warner Trail,7/20/26,4:21 PM,,,
2737,Prindle school,7/20/26,4:54 PM,,,
